gene_id	genome	gene_product
650752390	Methanobacterium_AL-21	mcrA
650750471	Methanobacterium_AL-21	mcrA
2516847513	Methanobacterium_Maddingley	mcrA
2516847065	Methanobacterium_Maddingley	mcrA
2585047995	Methanobacterium_SMA-27	mcrA
650872422	Methanobacterium_SWAN-1	mcrA
2574443412	Methanobacterium_arcticum	mcrA
2574441742	Methanobacterium_arcticum	mcrA
2520803234	Methanobacterium_formicicum_2	mcrA
2520801411	Methanobacterium_formicicum_2	mcrA
2583187982	Methanobacterium_veterum_1	mcrA
2583185460	Methanobacterium_veterum_1	mcrA
2540854716	Methanobrevibacter_AbM4	mcrA
2553937573	Methanobrevibacter_JH1	mcrA
2595205126	Methanobrevibacter_millerae	mcrA
2595203960	Methanobrevibacter_millerae	mcrA
2595158363	Methanobrevibacter_olleyae	mcrA
2595158117	Methanobrevibacter_olleyae	mcrA
646533023	Methanobrevibacter_ruminantium	mcrA
2547234354	Methanobrevibacter_smithii_2	mcrA
640592823	Methanobrevibacter_smithii_1	mcrA
640592705	Methanobrevibacter_smithii_1	mcrA
2558933934	Methanobrevibacter_wolinii	mcrA
646622935	Methanocaldococcus_FS406	mcrA
646623830	Methanocaldococcus_FS406	mcrA
644970377	Methanocaldococcus_fervens	mcrA
646777089	Methanocaldococcus_infernus	mcrA
638202197	Methanocaldococcus_jannaschii	mcrA
638201361	Methanocaldococcus_jannaschii	mcrA
2556226606	Methanocaldococcus_villosus_1	mcrA
646367708	Methanocaldococcus_vulcanius	mcrA
646366661	Methanocaldococcus_vulcanius	mcrA
2505968448	Methanocella_RC-I	mcrA
2512783668	Methanocella_conradii	mcrA
2505971857	Methanocella_paludicola	mcrA
637960147	Methanococcoides_burtonii	mcrA
640788680	Methanococcus_aeolicus	mcrA
2563557513	Methanococcus_maripaludis_1	mcrA
641283602	Methanococcus_maripaludis_2	mcrA
640793336	Methanococcus_maripaludis_3	mcrA
640165512	Methanococcus_maripaludis_4	mcrA
640786544	Methanococcus_vannielii	mcrA
646859549	Methanococcus_voltae	mcrA
2525335778	Methanocorpusculum_bavaricum	mcrA
2525334810	Methanocorpusculum_bavaricum	mcrA
640100248	Methanocorpusculum_labreanum	mcrA
640099739	Methanocorpusculum_labreanum	mcrA
2579682478	Methanoculleus_MH98A	mcrA
2579682448	Methanoculleus_MH98A	mcrA
2540643958	Methanoculleus_bourgensis	mcrA
2540643737	Methanoculleus_bourgensis	mcrA
640115295	Methanoculleus_marisnigri	mcrA
640115052	Methanoculleus_marisnigri	mcrA
